work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,remote_work_type,company_location,company_size,job_category,exchange_rate,salary_in_usd,experience_level_description,employment_type_description,country_name
2021,MI,FT,Data Scientist,52000.0,EUR,DE,50,Hybrid,AT,M,Data Science,0.845,61538.0,Mid-level (Junior),Full-time,Austria
2022,MI,FT,Research Scientist,59000.0,EUR,AT,0,On-site only,AT,L,Research,1.0093,58456.0,Mid-level (Junior),Full-time,Austria
2020,SE,FT,Data Scientist,80000.0,EUR,AT,0,On-site only,AT,S,Data Science,0.876,91324.0,Senior-level (Intermediate),Full-time,Austria
2020,MI,FT,Machine Learning Infrastructure Engineer,44000.0,EUR,PT,0,On-site only,PT,M,Machine Learning,0.876,50228.0,Mid-level (Junior),Full-time,Portugal
2022,MI,FT,Machine Learning Infrastructure Engineer,53000.0,EUR,PT,50,Hybrid,PT,L,Machine Learning,1.0093,52512.0,Mid-level (Junior),Full-time,Portugal
2022,EN,FT,ML Engineer,20000.0,EUR,PT,100,Fully remote,PT,L,Machine Learning,1.0093,19816.0,Entry-level,Full-time,Portugal
2021,SE,FT,Research Scientist,51400.0,EUR,PT,50,Hybrid,PT,L,Research,0.845,60828.0,Senior-level (Intermediate),Full-time,Portugal
2020,MI,FT,Data Scientist,34000.0,EUR,ES,100,Fully remote,ES,M,Data Science,0.876,38813.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Machine Learning Engineer,40000.0,EUR,ES,100,Fully remote,ES,S,Machine Learning,0.845,47337.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,32000.0,EUR,ES,100,Fully remote,ES,L,Data Science,0.845,37870.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,39600.0,EUR,ES,100,Fully remote,ES,M,Data Science,0.845,46864.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,45000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,44585.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Analyst,30000.0,EUR,ES,100,Fully remote,ES,M,Data Analyst,1.0093,29724.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,80000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,79263.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,70000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,69355.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,60000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,59447.0,Mid-level (Junior),Full-time,Spain
2021,SE,FT,AI Scientist,55000.0,USD,ES,100,Fully remote,ES,L,Artificial Intelligence,1.0,55000.0,Senior-level (Intermediate),Full-time,Spain
2020,EX,FT,Data Engineering Manager,70000.0,EUR,ES,50,Hybrid,ES,L,Leadership (DE),0.876,79909.0,Executive-level / Director (Expert),Full-time,Spain
2021,EX,FT,Data Science Consultant,59000.0,EUR,FR,100,Fully remote,ES,S,Data Science,0.845,69822.0,Executive-level / Director (Expert),Full-time,Spain
2021,EN,PT,Data Analyst,8760.0,EUR,ES,50,Hybrid,ES,M,Data Analyst,0.845,10367.0,Entry-level,Part-time,Spain
2020,MI,FT,Data Scientist,55000.0,EUR,FR,50,Hybrid,LU,S,Data Science,0.876,62785.0,Mid-level (Junior),Full-time,Luxembourg
2021,EN,FT,Business Data Analyst,50000.0,EUR,LU,100,Fully remote,LU,L,Data Analyst,0.845,59172.0,Entry-level,Full-time,Luxembourg
2022,EN,FT,Computer Vision Engineer,10000.0,USD,PT,100,Fully remote,LU,M,Artificial Intelligence,1.0,10000.0,Entry-level,Full-time,Luxembourg
2020,MI,FT,Product Data Analyst,20000.0,USD,HN,0,On-site only,HN,S,Data Analyst,1.0,20000.0,Mid-level (Junior),Full-time,Honduras
2020,MI,FT,Business Data Analyst,135000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,135000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Lead Data Analyst,87000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,87000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Analyst,85000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,85000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,BI Data Analyst,98000.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,98000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Research Scientist,450000.0,USD,US,0,On-site only,US,M,Research,1.0,450000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Science Consultant,103000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,103000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Engineer,106000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,106000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Scientist,118000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,118000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Scientist,138350.0,USD,US,100,Fully remote,US,M,Data Science,1.0,138350.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Engineer,110000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,110000.0,Mid-level (Junior),Full-time,United States
2020,MI,FT,Data Engineer,130800.0,USD,ES,100,Fully remote,US,M,Data Engineering,1.0,130800.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,BI Data Analyst,100000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,100000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,140000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,140000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analytics Engineer,110000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,110000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Financial Data Analyst,450000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,450000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analyst,75000.0,USD,US,0,On-site only,US,L,Data Analyst,1.0,75000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analyst,62000.0,USD,US,0,On-site only,US,L,Data Analyst,1.0,62000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,73000.0,USD,US,0,On-site only,US,L,Data Science,1.0,73000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,200000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,200000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Principal Data Scientist,151000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,151000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Applied Machine Learning Scientist,38400.0,USD,VN,100,Fully remote,US,M,Machine Learning,1.0,38400.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analyst,90000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,90000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analyst,135000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,135000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,82500.0,USD,US,100,Fully remote,US,S,Data Science,1.0,82500.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,100000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,100000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,90000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,90000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,150000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,150000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Applied Machine Learning Scientist,423000.0,USD,US,50,Hybrid,US,L,Machine Learning,1.0,423000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Architect,150000.0,USD,US,100,Fully remote,US,L,Data Architect,1.0,150000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Architect,170000.0,USD,US,100,Fully remote,US,L,Data Architect,1.0,170000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,147000.0,USD,US,50,Hybrid,US,L,Data Science,1.0,147000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,160000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,160000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Architect,180000.0,USD,US,100,Fully remote,US,L,Data Architect,1.0,180000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analyst,80000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,80000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,110000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,110000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,115000.0,USD,US,50,Hybrid,US,L,Data Science,1.0,115000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Analyst,93000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,93000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,130000.0,USD,US,50,Hybrid,US,L,Data Science,1.0,130000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,93150.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,93150.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,111775.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,111775.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,112000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,112000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Scientist,109000.0,USD,US,50,Hybrid,US,L,Data Science,1.0,109000.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Computer Vision Software Engineer,81000.0,EUR,DE,100,Fully remote,US,S,Artificial Intelligence,0.845,95858.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,Data Engineer,22000.0,EUR,RO,0,On-site only,US,L,Data Engineering,0.845,26036.0,Mid-level (Junior),Full-time,United States
2021,MI,FT,BI Data Analyst,11000000.0,HUF,HU,50,Hybrid,US,L,Data Analyst,303.141,36287.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,130000.0,USD,US,0,On-site only,US,M,Data Science,1.0,130000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,90000.0,USD,US,0,On-site only,US,M,Data Science,1.0,90000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Engineer,170000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,170000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Engineer,150000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,150000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,106260.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,106260.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,126500.0,USD,US,0,On-site only,US,M,Data Analyst,1.0,126500.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,115500.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,115500.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,167000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,167000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,58000.0,USD,US,0,On-site only,US,S,Data Analyst,1.0,58000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,AI Scientist,120000.0,USD,US,0,On-site only,US,M,Artificial Intelligence,1.0,120000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Engineer,63900.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,63900.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Machine Learning Scientist,160000.0,USD,US,100,Fully remote,US,L,Machine Learning,1.0,160000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Machine Learning Scientist,112300.0,USD,US,100,Fully remote,US,L,Machine Learning,1.0,112300.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Science Manager,241000.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,241000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Science Manager,159000.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,159000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Engineer,82900.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,82900.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Machine Learning Engineer,120000.0,USD,US,100,Fully remote,US,S,Machine Learning,1.0,120000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,135000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,135000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Analyst,50000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,50000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,200000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,200000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,120000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,120000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Machine Learning Scientist,153000.0,USD,US,50,Hybrid,US,M,Machine Learning,1.0,153000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Applied Machine Learning Scientist,75000.0,USD,BO,100,Fully remote,US,L,Machine Learning,1.0,75000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Applied Data Scientist,157000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,157000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,48000.0,USD,RU,100,Fully remote,US,S,Data Science,1.0,48000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,135000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,135000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,78000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,78000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,141300.0,USD,US,0,On-site only,US,M,Data Science,1.0,141300.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,102100.0,USD,US,0,On-site only,US,M,Data Science,1.0,102100.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Engineer,206699.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,206699.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Engineer,99100.0,USD,US,0,On-site only,US,M,Data Engineering,1.0,99100.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,160000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,160000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,Data Scientist,130000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,130000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,AI Scientist,200000.0,USD,IN,100,Fully remote,US,L,Artificial Intelligence,1.0,200000.0,Mid-level (Junior),Full-time,United States
2022,MI,FT,NLP Engineer,240000.0,CNY,US,50,Hybrid,US,L,Machine Learning,7.0089,34242.0,Mid-level (Junior),Full-time,United States
2020,EN,FT,Data Analyst,72000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,72000.0,Entry-level,Full-time,United States
2020,EN,FT,Big Data Engineer,70000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,70000.0,Entry-level,Full-time,United States
2020,EN,FT,Machine Learning Engineer,250000.0,USD,US,50,Hybrid,US,L,Machine Learning,1.0,250000.0,Entry-level,Full-time,United States
2020,EN,FT,Machine Learning Engineer,138000.0,USD,US,100,Fully remote,US,S,Machine Learning,1.0,138000.0,Entry-level,Full-time,United States
2020,EN,FT,Data Analyst,91000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,91000.0,Entry-level,Full-time,United States
2020,EN,FT,Data Scientist,105000.0,USD,US,100,Fully remote,US,S,Data Science,1.0,105000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Analyst,80000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,80000.0,Entry-level,Full-time,United States
2021,EN,FT,Computer Vision Software Engineer,70000.0,USD,US,100,Fully remote,US,M,Artificial Intelligence,1.0,70000.0,Entry-level,Full-time,United States
2021,EN,FT,Machine Learning Scientist,225000.0,USD,US,100,Fully remote,US,L,Machine Learning,1.0,225000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Analyst,90000.0,USD,US,100,Fully remote,US,S,Data Analyst,1.0,90000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Analyst,50000.0,USD,US,100,Fully remote,US,M,Data Analyst,1.0,50000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Scientist,100000.0,USD,US,0,On-site only,US,S,Data Science,1.0,100000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Scientist,80000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,80000.0,Entry-level,Full-time,United States
2021,EN,FT,Machine Learning Engineer,125000.0,USD,US,100,Fully remote,US,S,Machine Learning,1.0,125000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Engineer,80000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,80000.0,Entry-level,Full-time,United States
2021,EN,FT,BI Data Analyst,55000.0,USD,US,50,Hybrid,US,S,Data Analyst,1.0,55000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Analyst,60000.0,USD,US,100,Fully remote,US,S,Data Analyst,1.0,60000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Science Consultant,90000.0,USD,US,100,Fully remote,US,S,Data Science,1.0,90000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Scientist,90000.0,USD,US,100,Fully remote,US,S,Data Science,1.0,90000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Engineer,72500.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,72500.0,Entry-level,Full-time,United States
2021,EN,FT,Data Scientist,100000.0,USD,US,100,Fully remote,US,M,Data Science,1.0,100000.0,Entry-level,Full-time,United States
2021,EN,FT,Data Scientist,58000.0,USD,US,50,Hybrid,US,L,Data Science,1.0,58000.0,Entry-level,Full-time,United States
2022,EN,FT,Computer Vision Engineer,125000.0,USD,US,0,On-site only,US,M,Artificial Intelligence,1.0,125000.0,Entry-level,Full-time,United States
2022,EN,FT,Financial Data Analyst,100000.0,USD,US,50,Hybrid,US,L,Data Analyst,1.0,100000.0,Entry-level,Full-time,United States
2022,EN,FT,Data Engineer,120000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,120000.0,Entry-level,Full-time,United States
2022,EN,FT,Research Scientist,120000.0,USD,US,100,Fully remote,US,L,Research,1.0,120000.0,Entry-level,Full-time,United States
2022,EN,FT,Data Engineer,65000.0,USD,US,100,Fully remote,US,S,Data Engineering,1.0,65000.0,Entry-level,Full-time,United States
2020,SE,FT,Data Scientist,60000.0,EUR,GR,100,Fully remote,US,L,Data Science,0.876,68493.0,Senior-level (Intermediate),Full-time,United States
2020,SE,FT,Machine Learning Engineer,150000.0,USD,US,50,Hybrid,US,L,Machine Learning,1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2020,SE,FT,Lead Data Scientist,190000.0,USD,US,100,Fully remote,US,S,Data Science,1.0,190000.0,Senior-level (Intermediate),Full-time,United States
2020,SE,FT,Data Engineer,188000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,188000.0,Senior-level (Intermediate),Full-time,United States
2020,SE,FT,Data Scientist,120000.0,USD,US,50,Hybrid,US,L,Data Science,1.0,120000.0,Senior-level (Intermediate),Full-time,United States
2020,SE,FT,Data Scientist,412000.0,USD,US,100,Fully remote,US,L,Data Science,1.0,412000.0,Senior-level (Intermediate),Full-time,United States
2020,SE,FT,Data Science Manager,190200.0,USD,US,100,Fully remote,US,M,Leadership (DS),1.0,190200.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Lead Data Analyst,170000.0,USD,US,100,Fully remote,US,L,Data Analyst,1.0,170000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Analyst,80000.0,USD,BG,100,Fully remote,US,S,Data Analyst,1.0,80000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Lead Data Engineer,276000.0,USD,US,0,On-site only,US,L,Data Engineering,1.0,276000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Engineer,150000.0,USD,US,100,Fully remote,US,L,Data Engineering,1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Data Engineer,150000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,150000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Principal Data Engineer,200000.0,USD,US,100,Fully remote,US,M,Data Engineering,1.0,200000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Machine Learning Scientist,120000.0,USD,US,50,Hybrid,US,S,Machine Learning,1.0,120000.0,Senior-level (Intermediate),Full-time,United States
2021,SE,FT,Principal Data Scientist,220000.0,USD,US,0,On-site only,US,L,Data Science,1.0,220000.0,Senior-level (Intermediate),Full-time,United States
